Smu Algae.3, Smu Rotifers.3,Smu Algae.16,Smu Rotifers.16,Smu Algae.35,Smu Rotifers.35,Smu Algae.45,Smu Rotifers.45
2.279321236,1.601543581,4.06731282,0.329129293,3.310478556,0.792616466,4.896513171,0.117125706
2.682871908,0.918465549,5.69771255,0.231166848,5.667010965,0.561062799,6.568434643,0.169897171
3.830515465,0.52339513,6.27719598,0.174364941,8.232596102,0.412559185,8.607137433,0.212283916
7.853644974,0.444546274,5.554202493,0.185066967,10.57460164,0.360023183,11.499582,0.253869967
17.04295264,0.693211798,3.987725084,0.343669001,14.52003201,0.397838546,15.19735914,0.355814879
32.08175637,1.271072277,2.494425487,0.646545119,20.96026009,0.743335174,20.91500731,0.52103858
50.20666813,2.398659585,1.50499705,0.991889779,27.22130463,1.572894649,31.96721385,0.733053725
64.22748634,4.109003871,1.476933231,1.028443225,28.91753458,2.800753331,46.58630812,0.84255447
56.08295637,6.487622283,2.217076523,0.760153929,22.20850446,4.619227607,58.01531285,0.780292995
30.19805128,8.705628209,3.427216323,0.466531948,12.02668486,6.316923176,68.59208886,0.717570436
8.77447445,9.412891107,4.408646948,0.238410092,4.131510034,6.653808905,77.42424175,0.788577357
-0.146443717,8.469050596,4.813592844,0.156133939,0.534958479,5.623390324,91.76744108,1.033215796
-1.31156926,6.170895583,5.201803642,0.168342887,-0.039131633,3.70001777,109.0875538,1.319884881
-0.011590151,3.725722328,6.407933462,0.159972823,0.729648355,1.874962303,115.8317294,1.535849894
1.562005662,2.064962,8.338450976,0.298037602,2.082990846,0.802367047,118.5388561,1.519538227
3.447101322,1.245003137,9.49156856,0.750524512,4.042273835,0.314282509,118.9813353,1.301296223
6.746106236,1.038646513,9.128201525,1.494900673,8.086591963,0.13394803,124.3053575,1.16411146
13.11850654,1.191662168,6.342255985,2.549640631,17.03029935,0.141366196,127.7214847,1.242502178
23.15453866,1.584542855,2.718082551,3.287302087,35.23558933,0.359534643,131.8978869,1.404084075
36.36077032,2.03026355,0.594626362,2.933365042,65.443338,0.682394126,143.2807411,1.576681378
52.90155438,2.536535199,0.760917616,1.961887079,101.9951153,0.981702675,155.3854921,1.766706402
72.3686724,3.228268737,3.966013673,1.106758016,126.2960143,1.226245449,155.7785266,1.932676263
90.25902159,3.600481882,11.49708858,0.603519989,132.3127697,1.523607463,146.7831516,1.969060682
99.21072501,3.446207006,23.01683321,0.456480648,123.6888416,1.917108825,134.9648071,1.944531876
101.9273358,3.179634307,32.52784167,0.913249561,110.1256877,2.351339294,112.2283403,2.001811255
103.8098606,3.210100869,29.45701454,2.31231306,92.7692075,3.116271749,96.68317039,2.266850367
105.8083304,3.471853421,15.58332575,4.561849928,66.14161825,4.75200776,87.99835093,2.85865669
105.4682204,3.559012242,4.674350893,6.266939335,38.55634095,7.073575293,83.0447574,3.602941524
100.7486335,3.530606985,0.415201646,5.596631615,16.15486526,9.350258897,81.1879956,4.123341173
91.4142803,3.647056904,-0.070623124,3.343916015,3.270116089,9.935701183,76.7008368,4.385823808
78.21002717,4.1979137,0.681018815,1.396212505,-0.811854083,8.562433452,67.20354019,4.590275136
61.2350981,5.090517441,1.812593874,0.342926331,-0.57931398,6.732244365,50.34130403,4.973252574
46.96554885,6.02918598,3.430524075,-0.005807408,0.803256638,4.690348692,33.32785901,5.594459245
34.82190883,6.885813936,4.929428298,-0.056607011,2.359716412,3.144028472,19.32798192,6.558317644
20.5934014,7.701713546,5.279066032,0.019084291,4.3372209,2.219880837,9.613678138,7.576119164
4.516908507,7.627521495,4.776944062,0.19215946,6.522906811,1.969440575,3.021241951,7.741283079
2.279321236,6.157615924,4.06731282,0.444604077,3.310478556,2.347725152,4.896513171,7.460280455
2.682871908,4.032164659,5.69771255,0.659045104,5.667010965,3.13003415,6.568434643,6.984611214
